plots,treatment,blocks,lint_kgha,total_lbac
101,36+114,1,2514.591505542823,150
102,36+84,1,2150.6311654146202,120
103,0+0,1,1496.0220947784255,0
104,36+24,1,1672.6767009334208,60
105,36+54,1,1980.7329901998648,90
106,36+VRN,1,1739.6322728854552,60
107,100+0,1,2177.817081460304,100
201,36+54,2,2176.3634907641504,90
202,36+84,2,2178.9224736354,120
203,36+VRN,2,2052.321121956913,36
204,36+114,2,1695.773068720397,150
205,100+0,2,1477.1294173434765,100
206,36+24,2,1803.9347250623107,60
207,0+0,2,1503.4241644130434,0
301,36+VRN,3,1932.7782276720645,60
302,36+84,3,1985.1806527840808,120
303,100+0,3,2153.675418745658,100
304,36+24,3,1906.642355678307,60
305,36+114,3,1693.376818965338,150
306,0+0,3,1506.3591244828779,0
307,36+54,3,1953.3101658715195,90
401,36+24,4,2120.280164506605,60
402,36+114,4,1925.3315212997845,150
403,0+0,4,1503.4294842673958,0
404,100+0,4,2064.043279582014,100
405,36+54,4,1684.9896366857404,90
406,36+84,4,2060.8026773217416,120
407,36+VRN,4,1855.3335829642517,65
